UPE | 
02/27/2026 02:31:35 PM
,Intel® Celeron® Processor J3455 (2M Cache- up to 2.30 GHz)

Essentials
Product Collection,Intel® Celeron® Processor J Series
Code Name,Products formerly Apollo Lake
Vertical Segment,Desktop
Processor Number,J3455
Lithography,14 nm
Recommended Customer Price,$31.00

CPU Specifications
Total Cores,4
Total Threads,4
Burst Frequency,2.30 GHz
Processor Base Frequency,1.50 GHz
Cache,2 MB
TDP,10 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q3'16
Servicing Status,End of Servicing Updates
End of Servicing Updates Date,Saturday |  September 30 |  2023
Embedded Options Available,Yes
Use Conditions,PC/Client/Tablet

Memory Specifications
Max Memory Size (dependent on memory type),8 GB
Memory Types,DDR3L/LPDDR3 up to 1866 MT/s; LPDDR4 up to 2400 MT/s
Max # of Memory Channels,2
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® HD Graphics 500
Graphics Base Frequency,250 MHz
Graphics Burst Frequency,750 MHz
Graphics Video Max Memory,8 GB
Graphics Output,eDP/DP/HDMI/MIPI-DSI
Execution Units,12
DirectX* Support,Yes
OpenGL* Support,Yes
Intel® Quick Sync Video,Yes
Intel® InTru™ 3D Technology,No
Intel® Clear Video HD Technology,Yes
Intel® Clear Video Technology,Yes
# of Displays Supported ‡,3

Expansion Options
PCI Express Revision,2.0
PCI Express Configurations ‡,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2
Max # of PCI Express Lanes,6

I/O Specifications
# of USB Ports,8
USB Revision,2.0/3.0
Total # of SATA Ports,2
Integrated LAN,No
General Purpose IO,Yes
UART,Yes
Max # of SATA 6.0 Gb/s Ports,2

Package Specifications
Sockets Supported,FCBGA1296
Max CPU Configuration,1
TJUNCTION,105°C
Package Size,24mm x 31mm

Advanced Technologies
Intel® Optane™ Memory Supported ‡,No
Intel® Turbo Boost Technology ‡,No
Secure Boot,Yes
Intel® Hyper-Threading Technology ‡,No
Intel® 64 ‡,Yes
Instruction Set,64-bit
Idle States,Yes
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes
Intel® HD Audio Technology,Yes
Intel® Identity Protection Technology ‡,Yes
Intel® Rapid Storage Technology,No
Intel® Smart Connect Technology,No
Intel® Smart Response Technology,No
Intel® Virtualization Technology for Itanium (VT-i),No

Security & Reliability
Intel® Secure Key,Yes
Intel® AES New Instructions,Yes
Intel® Trusted Execution Technology ‡,No
Execute Disable Bit ‡,Yes
Anti-Theft Technology,No
Intel® OS Guard,No
Intel® Stable IT Platform Program (SIPP),No
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
