UPE | 
01/20/2026 10:35:10 AM
,Intel® Core™ 3 Processor N350 (6M Cache- up to 3.90 GHz)

Essentials
Product Collection,Intel® Core™ Processor N-series
Code Name,Products formerly Twin Lake
Vertical Segment,Mobile
Processor Number,N350
Lithography,Intel 7

CPU Specifications
Total Cores,8
Total Threads,8
Max Turbo Frequency,3.9 GHz
Cache,6 MB Intel® Smart Cache
Processor Base Power,7 W

Supplemental Information
Marketing Status,Launched
Launch Date,Q1'25
Embedded Options Available,No
Datasheet,View now

Memory Specifications
Max Memory Size (dependent on memory type),16 GB
Memory Types,DDR4 3200 MT/s DDR5 4800 MT/s LPDDR5 4800 MT/s
Maximum Memory Speed,4800 MHz
Max # of Memory Channels,1
ECC Memory Supported   ‡,No

GPU Specifications
GPU Name‡,Intel® Graphics
Graphics Max Dynamic Frequency,1.35 GHz
Graphics Output,eDP 1.4b |  DP 1.4 |  HDMI 2.1 |  MIPI-DSI 1.3
Execution Units,32
4K Support,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096 x 2160@60Hz
Max Resolution (DP)‡,4096 x 2160@60Hz
DirectX* Support,12.1
OpenGL* Support,4.6
OpenCL* Support,3.0
Intel® Quick Sync Video,Yes
# of Displays Supported ‡,3
Device ID,0x46D3

Expansion Options
Chipset / PCH PCIe Revision,Gen 3
Max # of PCI Express Lanes,9

I/O Specifications
USB Revision,2.0/3.2
General Purpose IO,Yes

Package Specifications
Sockets Supported,FCBGA1264
Max CPU Configuration,1
TJUNCTION,105°C
Max Operating Temperature,105 °C
Package Size,35mm x 24mm

Advanced Technologies
Intel® Gaussian & Neural Accelerator,3.0
Intel® Smart Sound Technology,Yes
Intel® Wake on Voice,Yes
Intel® High Definition Audio,Yes
MIPI SoundWire*,1.2
Intel® Speed Shift Technology,Yes
Intel® Hyper-Threading Technology ‡,No
Instruction Set,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Enhanced Intel SpeedStep® Technology,Yes
Thermal Monitoring Technologies,Yes

Security & Reliability
Intel® Control-Flow Enforcement Technology,Yes
Intel® AES New Instructions,Yes
Intel® Trusted Execution Technology ‡,Yes
Intel® OS Guard,Yes
Intel® Boot Guard,Yes
Mode-based Execute Control (MBEC),Yes
Intel® Virtualization Technology (VT-x) ‡,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes
